iter	AUC	Logloss
0	0.6389369667	0.6676779297
1	0.6398246586	0.6450365234
2	0.6636605859	0.6248403646
3	0.6704857945	0.6067316406
4	0.671276778	0.5906536458
5	0.6725977063	0.5762688151
6	0.6765447557	0.5636609375
7	0.6756621301	0.5522501953
8	0.6784434617	0.5421339844
9	0.6805413961	0.5329865234
10	0.681433171	0.5248275716
11	0.6816025376	0.5175503255
12	0.6818376184	0.5109890625
13	0.6831905842	0.5050599935
14	0.6844544113	0.4997605143
15	0.6864305735	0.4949540365
16	0.6893076301	0.4906797526
17	0.6916358471	0.4868467122
18	0.6940519512	0.4834016276
19	0.6940411627	0.4802101888
20	0.6963511407	0.477338444
21	0.697761029	0.4745734701
22	0.6998699307	0.4722164388
23	0.7005591094	0.469946875
24	0.7029338479	0.4678930013
25	0.7033921182	0.4659805339
26	0.7054130435	0.4643186523
27	0.7062226534	0.4626728516
28	0.7081347704	0.4612514974
29	0.7091804743	0.4598251302
30	0.7108240128	0.4585501953
31	0.7115024328	0.4573014648
32	0.7133590877	0.4562101888
33	0.7135592103	0.4551748047
34	0.7139998674	0.4541668945
35	0.7155497968	0.4532615885
36	0.7161901295	0.452358431
37	0.7175815105	0.4515529622
38	0.7188708186	0.4508490885
39	0.7201192379	0.4501328125
40	0.7214972675	0.4495005208
41	0.7224710286	0.4488454753
42	0.7232603133	0.4482017904
43	0.7238018811	0.4475548828
44	0.724950403	0.4469875326
45	0.7261935472	0.4464774414
46	0.7276340425	0.4458833984
47	0.7274754643	0.4453759766
48	0.72872594	0.4448515625
49	0.7287535071	0.4443992513
50	0.7295023501	0.4439373047
51	0.7303631008	0.4435172526
52	0.7307358384	0.443090625
53	0.7313320637	0.4426389323
54	0.7326418161	0.442189388
55	0.7334757149	0.4417904622
56	0.7334764302	0.4414107096
57	0.7343260944	0.4410430339
58	0.7351003289	0.4406739909
59	0.7360028327	0.4402910807
60	0.7361594141	0.4398969401
61	0.7371078134	0.4395764323
62	0.7382059395	0.4391326823
63	0.739066869	0.4388076497
64	0.7395183444	0.4384656576
65	0.7400427759	0.4381463216
66	0.7398062646	0.4378432292
67	0.7399042249	0.4374646484
68	0.7409144342	0.4370840169
69	0.7414917648	0.4367794922
70	0.7420676947	0.4364794922
71	0.7428603172	0.4361635742
72	0.7433193922	0.4358676758
73	0.7439703643	0.4355840495
74	0.7441216707	0.4352817708
75	0.7447018623	0.4349995117
76	0.7453916073	0.434729362
77	0.7453086078	0.4344092122
78	0.7458229065	0.4341430339
79	0.7463569939	0.4338667969
80	0.7468058467	0.4336071615
81	0.7473929822	0.4333392253
82	0.7473907471	0.433086263
83	0.7479311228	0.4328282878
84	0.7484326363	0.4325396484
85	0.7485639453	0.4322786133
86	0.7492880225	0.4319860677
87	0.749589622	0.431757487
88	0.7497076392	0.4315138021
89	0.7503224313	0.4312485026
90	0.7509203553	0.4310151042
91	0.7511000633	0.4307886068
92	0.7514674664	0.4305653646
93	0.7520352006	0.4302885417
94	0.7525765598	0.4300622721
95	0.7524329424	0.4298105143
96	0.7527601719	0.4295819336
97	0.7530766129	0.4293704102
98	0.753180325	0.4291418294
99	0.753398478	0.4289132487
100	0.753677845	0.4287009115
101	0.754013598	0.4284969401
102	0.7544640005	0.4282914714
103	0.7550445795	0.4280442383
104	0.7554295659	0.4278276693
105	0.7558414638	0.4275984049
106	0.7557024658	0.4274054362
107	0.7560691237	0.4271901693
108	0.756460309	0.4269703776
109	0.7567429841	0.4267844727
110	0.7567396462	0.4265987956
111	0.7570921481	0.4263932943
112	0.7574972808	0.4261495117
113	0.7577399611	0.425979362
114	0.7580489218	0.4258022135
115	0.7580324113	0.425623763
116	0.7584580779	0.4254519857
117	0.758764267	0.4252802409
118	0.7590497732	0.4250893555
119	0.7595380843	0.4249020182
120	0.7597609758	0.4246874023
121	0.7597823143	0.4245120117
122	0.7600783408	0.4243426758
123	0.7602510452	0.4241629557
124	0.7602086067	0.4239982747
125	0.7603763044	0.4238352214
126	0.7607921958	0.423633138
127	0.7610632479	0.423471582
128	0.7611980736	0.4233194987
129	0.7611964941	0.4231630534
130	0.7614479959	0.4229938477
131	0.7616298497	0.4228388997
132	0.7620857656	0.4226634766
133	0.7622883916	0.4224845052
134	0.7624803185	0.4223303385
135	0.7627849281	0.4221715169
136	0.7629714012	0.4220043945
137	0.7630830407	0.4218517578
138	0.7631058097	0.4216921875
139	0.763497889	0.4215335937
140	0.7634817958	0.4213863281
141	0.7636208534	0.4212486979
142	0.7639212608	0.4210944987
143	0.7640656233	0.4209501953
144	0.7640908957	0.4208125
145	0.7643341422	0.4206840169
146	0.7645566761	0.4205292318
147	0.7648513019	0.4203528646
148	0.7650848031	0.4202264323
149	0.7652927339	0.4200844401
150	0.7653611898	0.4199485352
151	0.7655338347	0.4198051432
152	0.7655257881	0.4196576497
153	0.7657529414	0.4195089193
154	0.7656366229	0.4193785482
155	0.7658994198	0.4192390625
156	0.7660122216	0.419099707
157	0.7662380934	0.4189412109
158	0.7662336528	0.4188134115
159	0.7663274705	0.4186807292
160	0.766577661	0.4185624674
161	0.7667138577	0.4184508789
162	0.7668931782	0.4183391602
163	0.767110914	0.4182115234
164	0.7672786117	0.418100651
165	0.7672585249	0.4179651367
166	0.7675124407	0.4178340495
167	0.7676331699	0.4177208659
168	0.7675871551	0.4175892904
169	0.7678311467	0.4174597005
170	0.7680328488	0.4173305339
171	0.7683135569	0.4172015951
172	0.7684681714	0.417093457
173	0.768578589	0.4169647786
174	0.7686636448	0.4168418294
175	0.7686454654	0.4167309896
176	0.7687914073	0.416639974
177	0.7688896656	0.4165251628
178	0.7690483928	0.4163973307
179	0.7691809833	0.4162929036
180	0.769310385	0.4161708659
181	0.7693911195	0.4160744466
182	0.7695005238	0.4159610026
183	0.7697333097	0.4158530924
184	0.7698405981	0.415747526
185	0.7698574364	0.4156449219
186	0.7700488567	0.415541569
187	0.7700376213	0.4154347331
188	0.770090133	0.4153328451
189	0.7702377141	0.4152295898
190	0.7703855634	0.4151222656
191	0.7704868615	0.4150310547
192	0.7706584632	0.4149194987
193	0.7708468139	0.4148158529
194	0.7709567547	0.4147187826
195	0.7711344063	0.4146094076
196	0.7711753845	0.4145147135
197	0.7712149024	0.4144307292
198	0.7713220119	0.4143377279
199	0.7714115977	0.4142570638
200	0.7713929415	0.4141628581
201	0.7715072334	0.414060319
202	0.7716384828	0.4139591471
203	0.7718528509	0.4138513346
204	0.7720425427	0.4137545573
205	0.7720283866	0.4136621419
206	0.7721503675	0.4135589844
207	0.7721580565	0.4134694987
208	0.7722623646	0.4133906576
209	0.7724631131	0.413297168
210	0.7725514472	0.4132211589
211	0.7726432383	0.4131329753
212	0.7726908028	0.4130481771
213	0.7727547884	0.4129745443
214	0.7728585601	0.4128919596
215	0.7728137672	0.4128025716
216	0.7727714181	0.4127264323
217	0.7728172839	0.4126382161
218	0.7729459405	0.4125515625
219	0.7729932368	0.4124664388
220	0.7731330693	0.4123776367
221	0.7732130289	0.4123067708
222	0.7733951807	0.4122099284
223	0.7733509243	0.412138737
224	0.7734231353	0.4120534831
225	0.7734787464	0.411984375
226	0.7735975981	0.4119147135
227	0.7737182081	0.4118244141
228	0.7737776637	0.4117412109
229	0.7738004923	0.4116717122
230	0.7739053965	0.4115930664
231	0.7739285231	0.4115264648
232	0.7739932239	0.4114479818
233	0.7740803659	0.4113763021
234	0.7742397785	0.4112886393
235	0.774260819	0.4112222005
236	0.774241209	0.4111561523
237	0.7742917836	0.4110874674
238	0.7743733525	0.4110098307
239	0.7745239139	0.4109258789
240	0.774632901	0.4108542318
241	0.7746944129	0.4107840495
242	0.7747889757	0.4107141276
243	0.7748044431	0.4106541341
244	0.7748261094	0.4105928711
245	0.7748909593	0.4105216471
246	0.774962306	0.4104543294
247	0.7750407159	0.4103933919
248	0.7750716805	0.4103339518
249	0.7750127912	0.4102774089
250	0.7751230597	0.4102018555
251	0.7751126587	0.4101253581
252	0.77513358	0.4100595052
253	0.7752040327	0.4099952474
254	0.7753559053	0.409918099
255	0.7753040493	0.4098587565
256	0.7754113972	0.4097983073
257	0.7754993141	0.4097249023
258	0.7756072581	0.4096486328
259	0.7756781578	0.4095895182
260	0.7757145166	0.4095229167
261	0.7757374048	0.4094653971
262	0.7758177519	0.4093995117
263	0.7759105563	0.4093372721
264	0.7759677172	0.4092773112
265	0.7759634554	0.4092171875
266	0.7760421932	0.4091539062
267	0.7760790586	0.4091032878
268	0.7761738598	0.4090408203
269	0.7761859298	0.4089870443
270	0.7762053311	0.408930957
271	0.7763384879	0.4088610352
272	0.7763950527	0.4088123372
273	0.7764407992	0.4087590495
274	0.7765334249	0.4086911458
275	0.7765522897	0.4086436849
276	0.7765865922	0.4085885417
277	0.7766937912	0.4085211263
278	0.7767526805	0.4084680339
279	0.7768740356	0.4083962891
280	0.77697891	0.4083285156
281	0.7769758105	0.4082734049
282	0.7769528031	0.4082194987
283	0.7769809067	0.4081720703
284	0.7770255208	0.4081155924
285	0.7772195935	0.4080236979
286	0.777274847	0.4079681315
287	0.7772484422	0.4079228516
288	0.7772695124	0.407877474
289	0.7772643566	0.4078345378
290	0.7773060799	0.4077941406
291	0.7773764133	0.4077332357
292	0.777513206	0.4076607747
293	0.7775718272	0.4076152018
294	0.7776366472	0.4075649414
295	0.7776720822	0.4075150716
296	0.7777294517	0.407463737
297	0.7777684927	0.4074194336
298	0.7777661085	0.4073644531
299	0.7778100967	0.4073210612
300	0.7778854072	0.4072650065
301	0.777977109	0.4072065755
302	0.7780316174	0.4071575521
303	0.7780643106	0.4071096029
304	0.7781549692	0.4070571615
305	0.7781944275	0.407019694
306	0.7782110274	0.4069722331
307	0.7782700658	0.406919987
308	0.7782976031	0.4068743164
309	0.7783723176	0.406818457
310	0.7784098685	0.4067735352
311	0.7783930302	0.4067301432
312	0.7784543335	0.4066827474
313	0.7784968615	0.4066387044
314	0.7785316706	0.4065933919
315	0.7786121666	0.4065484375
316	0.7786565125	0.406501237
317	0.7786660194	0.4064582357
318	0.7787111402	0.4064113932
319	0.7787547112	0.4063669271
320	0.7788004279	0.4063298828
321	0.7787842751	0.4062876953
322	0.7787906229	0.4062505534
323	0.7788276672	0.4062115885
324	0.77888304	0.4061673828
325	0.7789530158	0.4061236979
326	0.7789850533	0.4060854818
327	0.7790309489	0.4060503255
328	0.7790327668	0.4060089518
329	0.7791314125	0.4059479818
330	0.7792755365	0.4058746419
331	0.7793253958	0.4058339193
332	0.7793486118	0.4057963542
333	0.77938205	0.4057589193
334	0.7794061899	0.4057157552
335	0.7794489861	0.4056723307
336	0.7794911563	0.4056349935
337	0.7794510722	0.4056020833
338	0.7795150876	0.405555306
339	0.779532373	0.4055191081
340	0.7795571983	0.405481901
341	0.7795785069	0.4054484049
342	0.7796269357	0.4054086914
343	0.7797541618	0.4053422201
344	0.7798189819	0.4052933594
345	0.779821068	0.4052585286
346	0.7798727155	0.4052188151
347	0.7799636722	0.4051666992
348	0.7799735665	0.4051355794
349	0.7799880505	0.4050952474
350	0.7800216079	0.4050558919
351	0.7800858915	0.4050154297
352	0.7801595926	0.404969401
353	0.7802086174	0.4049328451
354	0.7802321315	0.4049023438
355	0.7802855372	0.4048606771
356	0.7803244889	0.4048190755
357	0.780387342	0.4047779622
358	0.7803686261	0.4047477214
359	0.7803863287	0.4047181641
360	0.7804150879	0.4046822591
361	0.7804372311	0.4046544596
362	0.7804786861	0.404619043
363	0.7805078328	0.404592806
364	0.7805285454	0.4045618164
365	0.7804934978	0.4045356445
366	0.7805254161	0.4045062174
367	0.7805857062	0.4044685221
368	0.7805888653	0.4044396159
369	0.7806136012	0.4044080078
370	0.7806608379	0.4043698242
371	0.7806784809	0.4043383464
372	0.7807581127	0.404290918
373	0.7807646096	0.4042541992
374	0.7808188796	0.4042151693
375	0.7808557153	0.4041794922
376	0.7808890641	0.4041477214
377	0.7808558047	0.4041207031
378	0.7808791697	0.4040920898
379	0.7809141278	0.4040582357
380	0.7810136378	0.4040036784
381	0.7810702324	0.4039693359
382	0.7810541391	0.4039443359
383	0.7810857296	0.4039080078
384	0.7811175287	0.4038812826
385	0.7811310887	0.4038546549
386	0.7811754942	0.4038219727
387	0.7812112272	0.4037948242
388	0.7813021839	0.4037418945
389	0.781306535	0.4037124349
390	0.7813286781	0.4036917643
391	0.781349659	0.4036702148
392	0.7814377546	0.4036210612
393	0.7814654112	0.4035935547
394	0.781486243	0.4035609375
395	0.7814979255	0.4035298503
396	0.7815176845	0.4035037435
397	0.7815451622	0.4034788737
398	0.7815902233	0.4034438802
399	0.7816052735	0.4034171224
400	0.7815904617	0.4033950846
401	0.7815915346	0.4033654622
402	0.7816086709	0.4033388672
403	0.7816719413	0.4033029622
404	0.7817140818	0.4032660482
405	0.7817576528	0.4032340495
406	0.7817856073	0.4032115234
407	0.7817810178	0.403184668
408	0.7817769051	0.4031595378
409	0.7818053961	0.4031357096
410	0.7818415463	0.4031013021
411	0.7818292081	0.4030779622
412	0.7818720341	0.4030480469
413	0.7819049954	0.4030207357
414	0.7819824517	0.4029742839
415	0.7820206881	0.4029433594
416	0.7820525467	0.4029185221
417	0.7820556164	0.402895638
418	0.7820867598	0.4028677409
419	0.7821160257	0.4028376628
420	0.7821334898	0.4028127279
421	0.782177031	0.4027814779
422	0.7821893692	0.4027570638
423	0.7822294235	0.4027250326
424	0.7822350562	0.4026973307
425	0.7822543085	0.402675293
426	0.7823264003	0.4026334961
427	0.782351315	0.4026074544
428	0.782348305	0.4025873047
429	0.7823710442	0.402566569
430	0.7824043334	0.4025429362
431	0.782436192	0.4025196615
432	0.7824602127	0.4024974935
433	0.7825262845	0.4024568359
434	0.782517463	0.4024337891
435	0.7825337052	0.4024097005
436	0.7825541794	0.4023868815
437	0.7825472355	0.402367806
438	0.7825638354	0.4023452148
439	0.7825788856	0.4023239258
440	0.7825757265	0.4023012695
441	0.7826525569	0.4022518229
442	0.7826825082	0.4022260742
443	0.7827003002	0.4022029622
444	0.7827190459	0.4021844401
445	0.7827215791	0.4021636719
446	0.7827259898	0.4021446615
447	0.7827192545	0.4021255859
448	0.7827693522	0.4020932292
449	0.7827830315	0.4020751628
450	0.7828189135	0.4020492513
451	0.7828575075	0.4020161458
452	0.7829246521	0.4019782227
453	0.7829496562	0.4019580078
454	0.7829772234	0.4019333333
455	0.7829755545	0.4019109701
456	0.783015579	0.4018853841
457	0.783039391	0.4018580078
458	0.78305462	0.4018365234
459	0.7830864489	0.4018139974
460	0.7830888033	0.4017920247
461	0.7830950022	0.4017732747
462	0.7831047773	0.4017529622
463	0.7831286192	0.4017345703
464	0.7831268311	0.4017175456
465	0.7831455767	0.4017004557
466	0.7831760645	0.4016778646
467	0.7832324505	0.4016441406
468	0.7832544446	0.4016243815
469	0.7832908034	0.4015986979
470	0.7833026052	0.4015808268
471	0.7833147049	0.4015652344
