iter	Passed	Remaining
0	61	92273
1	118	88647
2	176	88135
3	233	87451
4	289	86469
5	345	86017
6	408	87080
7	461	86109
8	517	85691
9	572	85337
10	627	84997
11	687	85198
12	747	85490
13	804	85404
14	858	84987
15	920	85367
16	988	86252
17	1052	86663
18	1107	86302
19	1161	85927
20	1215	85616
21	1270	85346
22	1323	85012
23	1388	85394
24	1471	86800
25	1714	97221
26	1823	99483
27	1881	98909
28	1932	98005
29	1985	97302
30	2038	96598
31	2507	115035
32	2570	114259
33	2643	113994
34	2702	113103
35	2771	112710
36	2834	112081
37	2895	111386
38	2972	111359
39	3088	112718
40	3144	111910
41	3202	111161
42	3257	110376
43	3322	109949
44	3385	109464
45	3449	109028
46	3513	108611
47	3567	107927
48	3626	107380
49	3681	106759
50	3741	106304
51	3791	105591
52	3845	104983
53	3910	104706
54	3964	104169
55	4016	103567
56	4067	102982
57	4122	102495
58	4182	102147
59	4241	101800
60	4302	101495
61	4384	101695
62	4514	102974
63	4587	102928
64	4654	102758
65	4732	102831
66	4809	102872
67	4873	102635
68	4938	102418
69	5003	102214
70	5070	102059
71	5129	101727
72	5189	101438
73	5250	101170
74	5309	100876
75	5367	100565
76	5429	100335
77	5492	100134
78	5554	99905
79	5618	99734
80	5680	99511
81	5747	99383
82	5821	99384
83	5887	99240
84	6047	100678
85	6204	102017
86	6299	102318
87	6373	102271
88	6484	102797
89	6571	102954
90	6631	102674
91	6698	102518
92	6754	102188
93	6809	101854
94	6874	101670
95	6933	101409
96	6992	101134
97	7053	100907
98	7116	100704
99	7256	101587
100	7362	101976
101	7785	106701
102	7848	106447
103	7911	106197
104	7971	105910
105	8039	105721
106	8111	105597
107	8207	105787
108	8282	105694
109	8355	105589
110	8434	105547
111	8510	105464
112	8588	105422
113	8687	105618
114	8756	105460
115	8826	105305
116	8893	105129
117	8987	105265
118	9113	105757
119	9267	106580
120	9352	106586
121	9456	106815
122	9534	106740
123	9625	106813
124	9708	106798
125	9777	106619
126	9848	106473
127	9946	106616
128	10026	106560
129	10092	106354
130	10171	106298
131	10242	106149
132	10301	105885
133	10359	105600
134	10416	105319
135	10471	105020
136	10527	104733
137	10591	104534
138	10650	104278
139	10708	104022
140	10772	103826
141	10840	103671
142	10900	103436
143	10968	103291
144	11045	103218
145	11109	103032
146	11168	102791
147	11237	102653
148	11303	102490
149	11360	102243
150	11419	102023
151	11488	101884
152	11559	101767
153	11634	101684
154	11719	101691
155	11781	101498
156	11844	101317
157	11920	101246
158	12031	101471
159	12099	101334
160	12215	101590
161	12296	101563
162	12366	101435
163	12429	101257
164	12494	101089
165	12562	100953
166	12634	100849
167	12698	100680
168	12762	100514
169	12823	100321
170	12887	100160
171	12949	99985
172	13008	99783
173	13066	99574
174	13133	99442
175	13206	99352
176	13266	99159
177	13328	98993
178	13388	98802
179	13444	98596
180	13506	98426
181	13567	98253
182	13632	98111
183	13695	97954
184	13763	97834
185	13829	97700
186	13894	97556
187	13973	97514
188	14046	97431
189	14140	97494
190	14211	97396
191	14295	97385
192	14372	97327
193	14468	97400
194	14541	97317
195	14605	97168
196	14662	96979
197	14723	96819
198	14834	96986
199	14957	97224
200	15078	97448
201	15149	97346
202	15211	97190
203	15270	97014
204	15331	96850
205	15391	96679
206	15449	96500
207	15505	96312
208	15560	96119
209	15615	95922
210	15672	95741
211	15728	95557
212	15783	95368
213	15842	95204
214	15900	95034
215	15961	94882
216	16023	94739
217	16088	94611
218	16149	94466
219	16209	94306
220	16278	94207
221	16347	94106
222	16409	93967
223	16465	93794
224	16523	93633
225	16583	93485
226	16641	93321
227	16697	93152
228	16753	92985
229	16817	92859
230	16879	92727
231	16949	92635
232	17011	92504
233	17065	92330
234	17125	92186
235	17192	92079
236	17255	91958
237	17313	91806
238	17380	91700
239	17446	91591
240	17513	91493
241	17582	91401
242	17642	91264
243	17698	91106
244	17757	90961
245	17818	90829
246	17879	90701
247	17940	90569
248	18001	90441
249	18070	90352
250	18137	90251
251	18195	90111
252	18259	89997
253	18324	89891
254	18385	89762
255	18439	89605
256	18498	89467
257	18559	89345
258	18617	89205
259	18680	89091
260	18739	88959
261	18797	88822
262	18852	88672
263	18905	88511
264	18963	88378
265	19020	88236
266	19080	88115
267	19147	88019
268	19212	87922
269	19267	87775
270	19321	87622
271	19375	87473
272	19427	87317
273	19484	87181
274	19543	87058
275	19598	86913
276	19652	86770
277	19708	86634
278	19770	86523
279	19827	86390
280	19881	86247
281	19936	86109
282	19994	85983
283	20056	85876
284	20111	85737
285	20175	85641
286	20239	85543
287	20292	85395
288	20357	85304
289	20423	85213
290	20479	85084
291	20534	84949
292	20588	84813
293	20642	84676
294	20706	84579
295	20771	84488
296	20827	84360
297	20881	84225
298	20937	84100
299	20996	83986
300	21055	83870
301	21112	83751
302	21171	83637
303	21229	83520
304	21288	83410
305	21355	83327
306	21415	83218
307	21467	83081
308	21532	82996
309	21593	82890
310	21653	82783
311	21725	82724
312	21811	82716
313	21868	82599
314	21929	82496
315	22002	82440
316	22071	82366
317	22134	82273
318	22200	82191
319	22266	82106
320	22346	82075
321	22423	82032
322	22486	81941
323	22552	81857
324	22614	81758
325	22673	81654
326	22735	81557
327	22795	81452
328	22859	81362
329	22917	81251
330	22982	81169
331	23044	81071
332	23105	80973
333	23173	80900
334	23238	80813
335	23293	80696
336	23351	80587
337	23417	80506
338	23482	80423
339	23539	80312
340	23597	80202
341	23654	80092
342	23711	79983
343	23765	79863
344	23825	79763
345	23884	79662
346	23955	79597
347	24020	79516
348	24080	79417
349	24144	79331
350	24210	79253
351	24270	79154
352	24330	79058
353	24388	78954
354	24444	78842
355	24498	78726
356	24558	78628
357	24618	78532
358	24686	78461
359	24753	78386
360	24819	78308
361	24881	78219
362	24953	78160
363	25018	78081
364	25083	77998
365	25147	77914
366	25202	77805
367	25258	77697
368	25317	77599
369	25379	77508
370	25442	77426
371	25505	77339
372	25565	77245
373	25625	77151
374	25691	77075
375	25748	76970
376	25803	76862
377	25858	76753
378	25913	76645
379	25969	76542
380	26037	76471
381	26103	76397
382	26163	76304
383	26216	76192
384	26272	76086
385	26338	76014
386	26404	75937
387	26464	75847
388	26531	75774
389	26589	75677
390	26647	75580
391	26709	75494
392	26771	75410
393	26826	75303
394	26883	75205
395	26940	75106
396	26997	75009
397	27056	74916
398	27114	74818
399	27168	74713
400	27231	74632
401	27289	74537
402	27346	74438
403	27402	74338
404	27467	74263
405	27529	74179
406	27585	74081
407	27645	73993
408	27701	73893
409	27759	73798
410	27822	73719
411	27886	73643
412	27949	73560
413	28017	73496
414	28085	73428
415	28148	73348
416	28205	73252
417	28259	73151
418	28317	73056
419	28373	72959
420	28443	72899
421	28508	72826
422	28577	72760
423	28642	72686
